"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"25","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","MySQL","Amazon Web Services (AWS)","Angular;Next.js;Node.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed"
"26","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript","Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure","Angular;AngularJS;Express;Laravel;Node.js;Spring Boot","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed"
"27","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL","Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Firebase;Google Cloud;Managed Hosting","Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress","Advertising Services","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed"
"28","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;Ruby","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku","Laravel;Node.js;Vue.js;WordPress","Legal Services","ChatGPT","Rubber Duck.AI;Synk Code","Employed"
"29","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;HTML/CSS;Java;TypeScript","Dynamodb;PostgreSQL;Supabase","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Vercel","React;Remix","Legal Services","ChatGPT","AWS CodeWhisperer;Synk Code","Employed"
"30","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net)","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Heroku;Microsoft Azure;Netlify;VMware","ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress","Insurance","ChatGPT","GitHub Copilot;Mintlify","Employed"
"31","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;JavaScript;PowerShell;Python;Ruby;TypeScript","Dynamodb;Elasticsearch;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Fly.io;Heroku;Netlify","FastAPI;Flask;jQuery;Next.js;Node.js;React;WordPress","Insurance","ChatGPT","GitHub Copilot;Tabnine","Employed"
"32","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PHP;SQL;Swift;TypeScript","BigQuery;MariaDB;MongoDB;MySQL;Redis","Firebase;Hetzner;Managed Hosting;Vercel","AngularJS;Express;jQuery;Laravel;Next.js;Node.js;Qwik;React;Remix;Spring Boot;Symfony;Vue.js;WordPress","Higher Education","Bing AI;ChatGPT;WolframAlpha;You.com","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed"
"33","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;JavaScript;PHP;TypeScript","MySQL;PostgreSQL;SQLite","Microsoft Azure;OVH","NestJS","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Tabnine","Employed"
"34","Cape Town Campus","Data Science","I am a developer by profession","System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PowerShell;Python;Rust","BigQuery;Cloud Firestore;Cosmos DB;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite","Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure","Django;FastAPI;Flask;jQuery","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed"
"35","Nelspruit Campus","Computer Science","I am a developer by profession","System administrator","Some college/university study without earning a degree","TypeScript","MongoDB","Google Cloud","Express;Node.js;React;WordPress","Oil & Gas","ChatGPT","Mintlify","Independent contractor"
"36","Cape Town Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","GDScript;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL","Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;Solr","Digital Ocean;Fly.io;Hetzner;Linode, now Akamai;OVH","Django;FastAPI;Flask;jQuery;Vue.js;WordPress","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Independent contractor"
"37","Durban Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript","Cockroachdb;Cosmos DB;Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis","Digital Ocean;Microsoft Azure","Angular;AngularJS;Spring Boot;Vue.js;WordPress","Insurance","Bing AI;ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"38","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel","Express;Node.js","Other","ChatGPT","Mintlify","Employed"
"39","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","AngularJS;ASP.NET;Flask;Node.js;Spring Boot","Legal Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed"
"40","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","MySQL","Microsoft Azure","Express;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"41","Pretoria Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript","InfluxDB;Microsoft SQL Server;MongoDB;PostgreSQL;RavenDB;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","ASP.NET CORE;Blazor;NestJS;Node.js;React","Healthcare","Bing AI;ChatGPT;Phind","AWS CodeWhisperer;Synk Code","Employed"
"42","Nelspruit Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;HTML/CSS;JavaScript;Python;TypeScript","Cassandra;MySQL;Oracle;Redis;SQLite","Amazon Web Services (AWS)","Django;FastAPI;Flask","Financial Services","ChatGPT;WolframAlpha;You.com","GitHub Copilot;Tabnine","Employed"
"43","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Python;SQL;TypeScript","Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;VMware","Django;Express;Laravel;Node.js","Higher Education","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed"
"44","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MySQL","Amazon Web Services (AWS);Firebase;Microsoft Azure","ASP.NET;ASP.NET CORE;Django;React;Vue.js","Wholesale","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed"
"45","Nelspruit Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","Dynamodb;PostgreSQL","Amazon Web Services (AWS)","React","Oil & Gas","Bing AI;ChatGPT;Google Bard AI","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed"
"46","Port Elizabeth Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;R;SQL","Microsoft SQL Server;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware","FastAPI","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed"
"47","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;SQL;TypeScript","Cosmos DB;PostgreSQL;Solr","Microsoft Azure;Scaleway","FastAPI;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;AWS CodeWhisperer","Employed"
"48","Durban Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;TypeScript","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Vue.js","Other","Bing AI;ChatGPT","Rubber Duck.AI","Employed"
"49","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript","IBM DB2;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Firebase;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;WordPress","Other","ChatGPT","GitHub Copilot;Tabnine","Employed"
"50","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript;Visual Basic (.Net)","Cosmos DB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel","Deno;Next.js;Node.js;React;Ruby on Rails;Vue.js","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed"
"51","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Kotlin","Oracle","Amazon Web Services (AWS)","Spring Boot","Legal Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed"
"52","Cape Town Campus","Data Science","I am a developer by profession","Developer, back-end","Something else","C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;Oracle;SQLite","Cloudflare;IBM Cloud Or Watson;Microsoft Azure;OVH","ASP.NET;CodeIgniter;Laravel;Node.js;Vue.js","Retail and Consumer Services","ChatGPT","Synk Code;Tabnine","Independent contractor"
"53","Cape Town Campus","IT","I am a developer by profession","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript","Cloud Firestore;MongoDB;SQLite","Firebase;Heroku;Vercel","Angular;Django;Express;NestJS;Next.js;Node.js;React;Svelte","Wholesale","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor"
"54","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Java;Python;SQL;TypeScript","H2;Microsoft SQL Server;Oracle","Microsoft Azure","Angular;Spring Boot;WordPress","Legal Services","ChatGPT","Rubber Duck.AI;Synk Code","Employed"
"55","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","MySQL","Amazon Web Services (AWS)","jQuery;Play Framework;React","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed"
"56","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","PHP","MySQL","Cloudflare","Blazor;Elm","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI","Independent contractor"
"57","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase","Angular;AngularJS;CodeIgniter;Laravel","Healthcare","ChatGPT;Google Bard AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"58","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;jQuery","Oil & Gas","Bing AI;ChatGPT","Tabnine;Whispr AI","Employed"
"59","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Java;Kotlin;PowerShell;SQL;TypeScript","Microsoft SQL Server;PostgreSQL","Hetzner;Oracle Cloud Infrastructure (OCI)","ASP.NET;jQuery;Spring Boot","Other","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed"
"60","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","Angular;Django;FastAPI;Gatsby;Node.js;Vue.js","Advertising Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor"
"61","Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Firebase;Heroku;Netlify","Express;Fastify;Node.js","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"62","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;Java;JavaScript;PowerShell","Microsoft Access;Microsoft SQL Server;MongoDB;Oracle;Redis","Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js","Other","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed"
"63","Cape Town Campus","Computer Science","I am a developer by profession","Designer","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;Java;Kotlin;Python;SQL","Microsoft SQL Server;MongoDB","Heroku;VMware","ASP.NET CORE;Spring Boot","Wholesale","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;Tabnine","Employed"
"64","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","C#;Java;JavaScript;Python","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed"
"65","Durban Campus","IT","I used to be a developer by profession, but no longer am","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;Python;SQL","Microsoft SQL Server","Amazon Web Services (AWS)","ASP.NET;Node.js","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed"
"66","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Groovy;Java;JavaScript;Python;TypeScript","Dynamodb;H2;MySQL;Oracle","Amazon Web Services (AWS);VMware","Express;Flask;Node.js;Spring Boot","Financial Services","ChatGPT","Whispr AI","Employed"
